,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
76,2020-08-16,2020-08-16,16.234,16.93,15.626,15.871,659097.805
77,2020-08-17,2020-08-17,15.918,16.742,13.135,14.19,845784.924
78,2020-08-18,2020-08-18,14.199,14.88,12.219,13.577,1870649.653
79,2020-08-19,2020-08-19,13.594,14.5,12.423,13.678,1125911.377
80,2020-08-20,2020-08-20,13.7,14.227,12.862,13.554,627441.544
81,2020-08-21,2020-08-21,13.535,13.616,10.94,11.724,1805188.972
82,2020-08-22,2020-08-22,11.745,13.877,11.669,13.463,872945.739
83,2020-08-23,2020-08-23,13.416,13.588,12.455,12.85,485850.296
84,2020-08-24,2020-08-24,12.869,13.495,12.463,12.831,454740.935
85,2020-08-25,2020-08-25,12.851,13.027,11.359,11.95,792803.191
86,2020-08-26,2020-08-26,11.949,13.278,11.9,12.86,513263.802
87,2020-08-27,2020-08-27,12.84,13.114,11.87,12.279,456004.295
88,2020-08-28,2020-08-28,12.298,13.063,12.093,12.758,260902.32
89,2020-08-29,2020-08-29,12.75,14.32,12.609,13.794,658732.155
90,2020-08-30,2020-08-30,13.779,14.95,13.761,13.858,618345.333
91,2020-08-31,2020-08-31,13.824,14.268,13.003,13.059,458380.338
92,2020-09-01,2020-09-01,13.085,13.785,12.665,13.467,567331.474
93,2020-09-02,2020-09-02,13.428,13.713,11.905,12.494,615049.874
94,2020-09-03,2020-09-03,12.538,12.7,9.336,10.154,1132573.11
95,2020-09-04,2020-09-04,10.097,10.99,9.33,10.533,1494332.013
96,2020-09-05,2020-09-05,10.521,10.95,7.8,8.975,1763028.833
97,2020-09-06,2020-09-06,8.964,11.326,8.25,10.834,1416670.979
98,2020-09-07,2020-09-07,10.839,11.112,9.458,10.514,1101839.133
99,2020-09-08,2020-09-08,10.575,10.76,9.444,9.989,819708.107
100,2020-09-09,2020-09-09,10.001,10.745,9.716,10.49,408276.379
101,2020-09-10,2020-09-10,10.476,11.242,10.337,10.63,545493.491
102,2020-09-11,2020-09-11,10.609,10.74,10.191,10.542,408312.013
103,2020-09-12,2020-09-12,10.536,10.777,10.24,10.75,245505.387
104,2020-09-13,2020-09-13,10.755,11.2,9.913,10.205,526597.217
105,2020-09-14,2020-09-14,10.211,10.45,9.854,10.22,435418.274
106,2020-09-15,2020-09-15,10.253,10.324,9.093,9.268,594007.295
107,2020-09-16,2020-09-16,9.251,9.54,8.88,9.106,505575.225
108,2020-09-17,2020-09-17,9.103,9.9,8.92,9.307,478164.459
109,2020-09-18,2020-09-18,9.305,9.4,8.294,8.551,399026.314
110,2020-09-19,2020-09-19,8.541,8.885,8.346,8.56,220243.666
111,2020-09-20,2020-09-20,8.551,8.979,7.952,8.228,439518.615
112,2020-09-21,2020-09-21,8.237,8.373,7.23,7.407,1244457.391
113,2020-09-22,2020-09-22,7.421,7.723,7.301,7.475,389219.15
114,2020-09-23,2020-09-23,7.472,7.542,6.28,6.554,968299.303
115,2020-09-24,2020-09-24,6.565,8.997,6.425,8.457,1450872.028
116,2020-09-25,2020-09-25,8.448,9.662,8.069,9.194,1283410.357
117,2020-09-26,2020-09-26,9.232,9.598,8.558,8.876,647621.803
118,2020-09-27,2020-09-27,8.88,9.467,8.54,9.285,455252.634
119,2020-09-28,2020-09-28,9.293,9.5,8.707,8.817,609736.514
120,2020-09-29,2020-09-29,8.819,8.909,8.05,8.644,760145.868
121,2020-09-30,2020-09-30,8.644,8.723,8.168,8.42,360133.924
122,2020-10-01,2020-10-01,8.439,8.868,7.94,8.224,691319.063
123,2020-10-02,2020-10-02,8.217,8.399,7.5,7.863,688984.718
124,2020-10-03,2020-10-03,7.879,8.173,7.8,7.936,227449.035
125,2020-10-04,2020-10-04,7.937,8.083,7.8,8.02,117268.73
126,2020-10-05,2020-10-05,8.012,8.239,7.918,8.165,339479.631
127,2020-10-06,2020-10-06,8.162,8.199,7.31,7.461,381576.526
128,2020-10-07,2020-10-07,7.472,7.669,7.16,7.629,241345.62
129,2020-10-08,2020-10-08,7.627,8.228,7.165,8.118,426082.585
130,2020-10-09,2020-10-09,8.13,8.899,7.955,8.787,694814.163
131,2020-10-10,2020-10-10,8.773,9.25,8.556,8.87,482299.241
132,2020-10-11,2020-10-11,8.868,9.308,8.567,9.184,350068.605
133,2020-10-12,2020-10-12,9.164,10.034,9.026,9.646,841633.726
134,2020-10-13,2020-10-13,9.672,9.83,9.02,9.359,424282.766
135,2020-10-14,2020-10-14,9.38,9.674,9.045,9.315,350098.845
136,2020-10-15,2020-10-15,9.303,9.366,8.942,9.172,459634.802
137,2020-10-16,2020-10-16,9.167,9.31,8.773,9.057,314515.748
